song;artist;year;lyrics
Fortunate Son;Creedence Clearwater Revival;1969;"Some folks are born made to wave the flag Ooh, they're red, white and blue And when the band plays ""Hail To The Chief"" Ooh, they point the cannon at you, Lord  It ain't me, it ain't me, I ain't no senator's son, son It ain't me, it ain't me; I ain't no fortunate one, no  Some folks are born silver spoon in hand Lord, don't they help themselves, oh But when the taxman come to the door Lord, the house lookin' like a rummage sale, yeah  It ain't me, it ain't me, I ain't no millionaire's son, no, no It ain't me, it ain't me; I ain't no fortunate one, no  Yeah! Some folks inherit star-spangled eyes Ooh, they send you down to war, Lord And when you ask 'em, ""How much should we give?"" Ooh, they only answer, ""More! More! More!"" Yo  It ain't me, it ain't me, I ain't no military son, son It ain't me, it ain't me; I ain't no fortunate one, one  It ain't me, it ain't me, I ain't no fortunate one, no no no It ain't me, it ain't me, I ain't no fortunate son, no no no It ain't me, it ain't me"
War;Edwin Starr;1970;War, huh, yeah What is it good for? Absolutely nothing, uh-huh, uh-huh  War, huh, yeah What is it good for? Absolutely nothing, say it again, y'all  War, huh, good god What is it good for? Absolutely nothing, listen to me  Oh war, I despise 'Cause it means destruction of innocent lives War means tears to thousands of mothers' eyes When their sons go off to fight and lose their lives  I said, war, huh, good god, y'all What is it good for? Absolutely nothing, say it again  War, huh, whoa-oh-whoa-oh, Lord What is it good for? Absolutely nothing, listen to me  War, it ain't nothing but a heartbreak War, friend only to the undertaker  Oh, war, is an enemy to all mankind The thought of war blows my mind War has caused unrest within the younger generation Induction then destruction, who wants to die?  Oh, war, huh, good god, y'all What is it good for? Absolutely nothing, say it, say it, say it  War, huh, uh-huh, yeah, uh What is it good for? Absolutely nothing, listen to me  War, it ain't nothing but a heartbreaker War, it got one friend, that's the undertaker  Oh, war has shattered many a young man's dreams Made him disabled, bitter and mean Life is much too short and precious to spend fighting wars these days War can't give life, it can only take it away  Oh, war, huh, good god, y'all What is it good for? Absolutely nothing, say it again  War, huh, whoa-oh-whoa-oh, Lord What is it good for? Absolutely nothing, listen to me  War, it ain't nothing but a heartbreaker War, friend only to the undertaker  Peace, love and understanding, tell me Is there no place for them today? They say we must fight to keep our freedom But lord knows there's got to be a better way  Oh, war, huh, good god, y'all What is it good for? You tell me, (nothing) say it, say it, say it, say it  War, huh, good god, yeah, huh What is it good for? Stand up and shout it (nothing) 
Ohio;Crosby Stills Nash and Young;1970;Tin soldiers and Nixon coming We're finally on our own This summer I hear the drumming Four dead in Ohio  Gotta get down to it Soldiers are cutting us down Should have been done long ago What if you knew her And found her dead on the ground How can you run when you know?  Gotta get down to it Soldiers are cutting us down Should have been done long ago What if you knew her And found her dead on the ground How can you run when you know?  Tin soldiers and Nixon coming We're finally on our own This summer I hear the drumming Four dead in Ohio
Blowin' In The Wind;Bob Dylan;1963;How many roads must a man walk down Before you call him a man? How many seas must a white dove sail Before she sleeps in the sand? Yes, and how many times must the cannonballs fly Before they're forever banned?  The answer, my friend, is blowin' in the wind The answer is blowin' in the wind  Yes, and how many years can a mountain exist Before it's washed to the sea? Yes, and how many years can some people exist Before they're allowed to be free? Yes, and how many times can a man turn his head And pretend that he just doesn't see?  The answer, my friend, is blowin' in the wind The answer is blowin' in the wind  Yes, and how many times must a man look up Before he can see the sky? Yes, and how many ears must one man have Before he can hear people cry? Yes, and how many deaths will it take 'til he knows That too many people have died?  The answer, my friend, is blowin' in the wind The answer is blowin' in the wind 
The Times They Are A-Changin' ;Bob Dylan;1964;Come gather 'round people Wherever you roam And admit that the waters Around you have grown And accept it that soon You'll be drenched to the bone If your time to you is worth savin' Then you better start swimmin' Or you'll sink like a stone For the times they are a-changin'  Come writers and critics Who prophesize with your pen And keep your eyes wide The chance won't come again And don't speak too soon For the wheel's still in spin And there's no tellin' who that it's namin' For the loser now Will be later to win For the times they are a-changin'  Come senators, congressmen Please heed the call Don't stand in the doorway Don't block up the hall For he that gets hurt Will be he who has stalled The battle outside ragin' Will soon shake your windows And rattle your walls For the times they are a-changin'  Come mothers and fathers Throughout the land And don't criticize What you can't understand Your sons and your daughters Are beyond your command Your old road is rapidly agin' Please get out of the new one If you can't lend your hand For the times they are a-changin'  The line it is drawn The curse it is cast The slow one now Will later be fast As the present now Will later be past The order is rapidly fadin' And the first one now Will later be last For the times they are a-changin'
Give Peace A Chance;John Lennon;1969;Two, one two three four Ev'rybody's talking about Bagism, Shagism, Dragism, Madism, Ragism, Tagism This-ism, that-ism, is-m, is-m, is-m.  All we are saying is give peace a chance All we are saying is give peace a chance  C'mon Ev'rybody's talking about Ministers, Sinisters, Banisters and canisters Bishops and Fishops and Rabbis and Pop eyes, And bye bye, bye byes.  All we are saying is give peace a chance All we are saying is give peace a chance  Let me tell you now Ev'rybody's talking about Revolution, evolution, masturbation, Flagellation, regulation, integrations, Meditations, United Nations, Congratulations.  Ev'rybody's talking about John and Yoko, Timmy Leary, Rosemary, Tommy Smothers, Bobby Dylan, Tommy Cooper, Derek Taylor, Norman Mailer, Alan Ginsberg, Hare Krishna, Hare, Hare Krishna 
Eve Of Destruction;Barry McGuire;1965; The eastern world it is exploding Violence flarin', bullets loadin' You're old enough to kill but not for votin' You don't believe in war but whats that gun you're totin'? And even the Jordan River has bodies floatin'  But you tell me Over and over and over again my friend Ah, you don't believe We're on the eve of destruction  Don't you understand what I'm tryin' to say Can't you feel the fears I'm feelin' today? If the button is pushed, there's no runnin' away There'll be no one to save with the world in a grave Take a look around you boy, it's bound to scare you boy  And you tell me Over and over and over again my friend Ah, you don't believe We're on the eve of destruction  Yeah my blood's so mad feels like coagulating I'm sitting here just contemplatin' I can't twist the truth it knows no regulation Handful of senators don't pass legislation And marches alone can't bring integration When human respect is disintegratin' This whole crazy world is just too frustratin'  And you tell me Over and over and over again my friend Ah, you don't believe We're on the eve of destruction  Think of all the hate there is in Red China Then take a look around to Selma, Alabama You may leave here for four days in space But when you return it's the same old place The pounding of the drums, the pride and disgrace You can bury your dead but don't leave a trace Hate your next door neighbor but don't forget to say grace  And tell me Over and over and over and over again my friend You don't believe We're on the eve of destruction Mmm, no, no, you don't believe We're on the eve of destruction 
21st Century Schizoid Man;King Crimson;1969;Cat's foot iron claw Neuro-surgeons scream for more At paranoia's poison door Twenty first century schizoid man  Blood rack barbed wire Politicians' funeral pyre Innocents raped with napalm fire Twenty first century schizoid man  Death seed blind man's greed Poets' starving children bleed Nothing he's got he really needs Twenty first century schizoid man 
The Unknown Soldier;The Doors;1968;Wait until the war is over And we're both a little older The unknown soldier  Breakfast where the news is read Television, children fed Unborn living, living dead Bullet strikes the helmet's head  And it's all over for the unknown soldier It's all over for the unknown soldier, uh uh  March! Company, halt! Present arms!  Make a grave for the unknown soldier Nestled in your hollow shoulder The unknown soldier  Breakfast where the news is read Television, children fed  Bullet strikes the helmet's head  And it's all over The war is over It's all over War is over
Where Have All The Flowers Gone;Peter, Paul And Mary;1962;Where have all the flowers gone, long time passing? Where have all the flowers gone, long time ago? Where have all the flowers gone? Young girls have picked them everyone. Oh, when will they ever learn? Oh, when will they ever learn?  Where have all the young girls gone, long time passing? Where have all the young girls gone, long time ago? Where have all the young girls gone? Gone for husbands everyone. Oh, when will they ever learn? Oh, when will they ever learn?  Where have all the husbands gone, long time passing? Where have all the husbands gone, long time ago? Where have all the husbands gone? Gone for soldiers everyone Oh, when will they ever learn? Oh, when will they ever learn?  Where have all the soldiers gone, long time passing? Where have all the soldiers gone, long time ago? Where have all the soldiers gone? Gone to graveyards, everyone. Oh, when will they ever learn? Oh, when will they ever learn?  Where have all the graveyards gone, long time passing? Where have all the graveyards gone, long time ago? Where have all the graveyards gone? Gone to flowers, everyone. Oh, when will they ever learn? Oh, when will they ever learn?  Where have all the flowers gone, long time passing? Where have all the flowers gone, long time ago? Where have all the flowers gone? Young girls have picked them everyone. Oh, when will they ever learn? Oh, when will they ever learn? 
Masters Of War;Bob Dylan;1963;Come you masters of war You that build the big guns You that build the death planes You that build all the bombs You that hide behind walls You that hide behind desks I just want you to know I can see through your masks  You that never done nothin' But build to destroy You play with my world Like it's your little toy You put a gun in my hand And you hide from my eyes And you turn and run farther When the fast bullets fly  Like Judas of old You lie and deceive A world war can be won You want me to believe But I see through your eyes And I see through your brain Like I see through the water That runs down my drain  You fasten all the triggers For the others to fire Then you set back and watch When the death count gets higher You hide in your mansion' As young people's blood Flows out of their bodies And is buried in the mud  You've thrown the worst fear That can ever be hurled Fear to bring children Into the world For threatening my baby Unborn and unnamed You ain't worth the blood That runs in your veins  How much do I know To talk out of turn You might say that I'm young You might say I'm unlearned But there's one thing I know Though I'm younger than you That even Jesus would never Forgive what you do  Let me ask you one question Is your money that good Will it buy you forgiveness Do you think that it could I think you will find When your death takes its toll All the money you made Will never buy back your soul  And I hope that you die And your death'll come soon I will follow your casket In the pale afternoon And I'll watch while you're lowered Down to your deathbed And I'll stand over your grave 'Til I'm sure that you're dead 
I Feel Like I'm Fixin' To Die Rag;Country Joe And The Fish;1970;Well, come on all of you, big strong men Uncle Sam needs your help again He's got himself in a terrible jam Way down yonder in Vietnam So put down your books and pick up a gun We're gonna have a whole lotta fun  And it's one, two, three What are we fighting for? Don't ask me, I don't give a damn Next stop is Vietnam And it's five, six, seven Open up the pearly gates Well there ain't no time to wonder why Whoopee! we're all gonna die  Well, come on generals, let's move fast Your big chance has come at last Now you can go out and get those reds 'Cause the only good commie is the one that's dead And you know that peace can only be won When we've blown 'em all to kingdom come  And it's one, two, three What are we fighting for? Don't ask me, I don't give a damn Next stop is Vietnam And it's five, six, seven Open up the pearly gates Well there ain't no time to wonder why Whoopee! we're all gonna die  Come on Wall Street, don't be slow Why man, this is war au-go-go There's plenty good money to be made By supplying the Army with the tools of its trade But just hope and pray that if they drop the bomb They drop it on the Viet Cong  And it's one, two, three What are we fighting for? Don't ask me, I don't give a damn Next stop is Vietnam And it's five, six, seven Open up the pearly gates Well there ain't no time to wonder why Whoopee! we're all gonna die  Come on mothers throughout the land Pack your boys off to Vietnam Come on fathers, and don't hesitate To send your sons off before it's too late And you can be the first ones in your block To have your boy come home in a box  And it's one, two, three What are we fighting for? Don't ask me, I don't give a damn Next stop is Vietnam And it's five, six, seven Open up the pearly gates Well there ain't no time to wonder why Whoopee! we're all gonna die 
