song,artist,year,period,word_count,source_note
Fortunate Son,Creedence Clearwater Revival,1969,Later (1968-1970),202,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
War,Edwin Starr,1970,Later (1968-1970),346,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
Ohio,Crosby Stills Nash and Young,1970,Later (1968-1970),110,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
Blowin' In The Wind,Bob Dylan,1963,Early (1962-1965),185,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
The Times They Are A-Changin' ,Bob Dylan,1964,Early (1962-1965),246,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
Give Peace A Chance,John Lennon,1969,Later (1968-1970),121,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
Eve Of Destruction,Barry McGuire,1965,Early (1962-1965),300,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
21st Century Schizoid Man,King Crimson,1969,Later (1968-1970),54,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
The Unknown Soldier,The Doors,1968,Later (1968-1970),98,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
Where Have All The Flowers Gone,"Peter, Paul And Mary",1962,Early (1962-1965),247,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
Masters Of War,Bob Dylan,1963,Early (1962-1965),333,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
I Feel Like I'm Fixin' To Die Rag,Country Joe And The Fish,1970,Later (1968-1970),368,Lyrics contained in the original submitted lyrics.csv; external transcription source was not recorded in the first submission.
